Premise,Implied,Support,Pset,Cset
Methodology / Procedure; Tools & Automation; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Scope; Status of Findings / Verification,73,"frozenset({'Tools & Automation', 'Limitations / Disclaimers / Non-Goals', 'Methodology / Procedure'})","frozenset({'Detailed Findings', 'Status of Findings / Verification', 'Scope', 'Executive Summary'})"
Scope; Tools & Automation; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Methodology / Procedure; Status of Findings / Verification,73,"frozenset({'Tools & Automation', 'Limitations / Disclaimers / Non-Goals', 'Scope'})","frozenset({'Detailed Findings', 'Status of Findings / Verification', 'Methodology / Procedure', 'Executive Summary'})"
Tools & Automation; Status of Findings / Verification; Testing / Coverage Quality,Detailed Findings; Executive Summary; Methodology / Procedure; Scope,73,"frozenset({'Tools & Automation', 'Testing / Coverage Quality', 'Status of Findings / Verification'})","frozenset({'Detailed Findings', 'Scope', 'Methodology / Procedure', 'Executive Summary'})"
Tools & Automation; Recommendations / Remediation Guidance; Documentation Quality,Detailed Findings; Executive Summary; Methodology / Procedure; Scope,73,"frozenset({'Documentation Quality', 'Tools & Automation', 'Recommendations / Remediation Guidance'})","frozenset({'Detailed Findings', 'Scope', 'Methodology / Procedure', 'Executive Summary'})"
Tools & Automation; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification,73,"frozenset({'Tools & Automation', 'Limitations / Disclaimers / Non-Goals'})","frozenset({'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Status of Findings / Verification'})"
Methodology / Procedure; Status of Findings / Verification; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Scope; Tools & Automation,73,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Methodology / Procedure', 'Status of Findings / Verification'})","frozenset({'Detailed Findings', 'Tools & Automation', 'Scope', 'Executive Summary'})"
Executive Summary; Tools & Automation; Limitations / Disclaimers / Non-Goals,Detailed Findings; Methodology / Procedure; Scope; Status of Findings / Verification,73,"frozenset({'Tools & Automation', 'Limitations / Disclaimers / Non-Goals', 'Executive Summary'})","frozenset({'Detailed Findings', 'Scope', 'Methodology / Procedure', 'Status of Findings / Verification'})"
Tools & Automation; Detailed Findings; Limitations / Disclaimers / Non-Goals,Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification,73,"frozenset({'Detailed Findings', 'Tools & Automation', 'Limitations / Disclaimers / Non-Goals'})","frozenset({'Status of Findings / Verification', 'Scope', 'Methodology / Procedure', 'Executive Summary'})"
Tools & Automation; Testing / Coverage Quality; Documentation Quality,Detailed Findings; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification,72,"frozenset({'Documentation Quality', 'Tools & Automation', 'Testing / Coverage Quality'})","frozenset({'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Status of Findings / Verification'})"
Tools & Automation; Recommendations / Remediation Guidance; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification,71,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Tools & Automation', 'Recommendations / Remediation Guidance'})","frozenset({'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Status of Findings / Verification'})"
Status of Findings / Verification; Documentation Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Scope,70,"frozenset({'Documentation Quality', 'Limitations / Disclaimers / Non-Goals', 'Status of Findings / Verification'})","frozenset({'Detailed Findings', 'Scope', 'Executive Summary'})"
Documentation Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Scope; Status of Findings / Verification,70,"frozenset({'Documentation Quality', 'Limitations / Disclaimers / Non-Goals'})","frozenset({'Detailed Findings', 'Status of Findings / Verification', 'Scope', 'Executive Summary'})"
Executive Summary; Documentation Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Scope; Status of Findings / Verification,70,"frozenset({'Documentation Quality', 'Limitations / Disclaimers / Non-Goals', 'Executive Summary'})","frozenset({'Detailed Findings', 'Scope', 'Status of Findings / Verification'})"
Detailed Findings; Documentation Quality; Limitations / Disclaimers / Non-Goals,Executive Summary; Scope; Status of Findings / Verification,70,"frozenset({'Documentation Quality', 'Detailed Findings', 'Limitations / Disclaimers / Non-Goals'})","frozenset({'Status of Findings / Verification', 'Scope', 'Executive Summary'})"
Scope; Documentation Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Status of Findings / Verification,70,"frozenset({'Documentation Quality', 'Limitations / Disclaimers / Non-Goals', 'Scope'})","frozenset({'Detailed Findings', 'Status of Findings / Verification', 'Executive Summary'})"
Executive Summary; Testing / Coverage Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Scope; Status of Findings / Verification,68,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Testing / Coverage Quality', 'Executive Summary'})","frozenset({'Documentation Quality', 'Detailed Findings', 'Scope', 'Status of Findings / Verification'})"
Tools & Automation; Documentation Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification,68,"frozenset({'Documentation Quality', 'Tools & Automation', 'Limitations / Disclaimers / Non-Goals'})","frozenset({'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Status of Findings / Verification'})"
Testing / Coverage Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Scope; Status of Findings / Verification,68,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Testing / Coverage Quality'})","frozenset({'Documentation Quality', 'Detailed Findings', 'Executive Summary', 'Scope', 'Status of Findings / Verification'})"
Status of Findings / Verification; Testing / Coverage Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Scope,68,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Testing / Coverage Quality', 'Status of Findings / Verification'})","frozenset({'Documentation Quality', 'Detailed Findings', 'Scope', 'Executive Summary'})"
Testing / Coverage Quality; Documentation Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Scope; Status of Findings / Verification,68,"frozenset({'Documentation Quality', 'Limitations / Disclaimers / Non-Goals', 'Testing / Coverage Quality'})","frozenset({'Detailed Findings', 'Status of Findings / Verification', 'Scope', 'Executive Summary'})"
Recommendations / Remediation Guidance; Documentation Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Scope; Status of Findings / Verification,68,"frozenset({'Documentation Quality', 'Limitations / Disclaimers / Non-Goals', 'Recommendations / Remediation Guidance'})","frozenset({'Detailed Findings', 'Status of Findings / Verification', 'Scope', 'Executive Summary'})"
Scope; Testing / Coverage Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Status of Findings / Verification,68,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality'})","frozenset({'Documentation Quality', 'Detailed Findings', 'Status of Findings / Verification', 'Executive Summary'})"
Methodology / Procedure; Documentation Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Scope; Status of Findings / Verification; Tools & Automation,68,"frozenset({'Documentation Quality', 'Limitations / Disclaimers / Non-Goals', 'Methodology / Procedure'})","frozenset({'Tools & Automation', 'Detailed Findings', 'Executive Summary', 'Scope', 'Status of Findings / Verification'})"
Detailed Findings; Testing / Coverage Quality; Limitations / Disclaimers / Non-Goals,Documentation Quality; Executive Summary; Scope; Status of Findings / Verification,68,"frozenset({'Detailed Findings', 'Limitations / Disclaimers / Non-Goals', 'Testing / Coverage Quality'})","frozenset({'Documentation Quality', 'Status of Findings / Verification', 'Scope', 'Executive Summary'})"
Recommendations / Remediation Guidance; Testing / Coverage Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Scope; Status of Findings / Verification,66,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Recommendations / Remediation Guidance', 'Testing / Coverage Quality'})","frozenset({'Documentation Quality', 'Detailed Findings', 'Executive Summary', 'Scope', 'Status of Findings / Verification'})"
Tools & Automation; Testing / Coverage Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification,66,"frozenset({'Tools & Automation', 'Limitations / Disclaimers / Non-Goals', 'Testing / Coverage Quality'})","frozenset({'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Status of Findings / Verification'})"
Methodology / Procedure; Testing / Coverage Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Scope; Status of Findings / Verification; Tools & Automation,66,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Methodology / Procedure', 'Testing / Coverage Quality'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Executive Summary', 'Scope', 'Status of Findings / Verification'})"
Scope; System/Protocol Overview; Detailed Findings,Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance,44,"frozenset({'Detailed Findings', 'Scope', 'System/Protocol Overview'})","frozenset({'Recommendations / Remediation Guidance', 'Methodology / Procedure', 'Executive Summary'})"
Executive Summary; System/Protocol Overview,Detailed Findings; Methodology / Procedure; Recommendations / Remediation Guidance; Scope,44,"frozenset({'System/Protocol Overview', 'Executive Summary'})","frozenset({'Detailed Findings', 'Recommendations / Remediation Guidance', 'Scope', 'Methodology / Procedure'})"
Executive Summary; System/Protocol Overview; Methodology / Procedure,Detailed Findings; Recommendations / Remediation Guidance; Scope,44,"frozenset({'System/Protocol Overview', 'Methodology / Procedure', 'Executive Summary'})","frozenset({'Detailed Findings', 'Recommendations / Remediation Guidance', 'Scope'})"
Executive Summary; System/Protocol Overview; Detailed Findings,Methodology / Procedure; Recommendations / Remediation Guidance; Scope,44,"frozenset({'Detailed Findings', 'System/Protocol Overview', 'Executive Summary'})","frozenset({'Recommendations / Remediation Guidance', 'Scope', 'Methodology / Procedure'})"
Scope; System/Protocol Overview; Recommendations / Remediation Guidance,Detailed Findings; Executive Summary; Methodology / Procedure,44,"frozenset({'Recommendations / Remediation Guidance', 'Scope', 'System/Protocol Overview'})","frozenset({'Detailed Findings', 'Methodology / Procedure', 'Executive Summary'})"
System/Protocol Overview; Methodology / Procedure; Detailed Findings,Executive Summary; Recommendations / Remediation Guidance; Scope,44,"frozenset({'Detailed Findings', 'Methodology / Procedure', 'System/Protocol Overview'})","frozenset({'Recommendations / Remediation Guidance', 'Scope', 'Executive Summary'})"
Scope; System/Protocol Overview,Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance,44,"frozenset({'Scope', 'System/Protocol Overview'})","frozenset({'Detailed Findings', 'Recommendations / Remediation Guidance', 'Methodology / Procedure', 'Executive Summary'})"
System/Protocol Overview; Detailed Findings,Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope,44,"frozenset({'Detailed Findings', 'System/Protocol Overview'})","frozenset({'Recommendations / Remediation Guidance', 'Scope', 'Methodology / Procedure', 'Executive Summary'})"
System/Protocol Overview; Recommendations / Remediation Guidance,Detailed Findings; Executive Summary; Methodology / Procedure; Scope,44,"frozenset({'Recommendations / Remediation Guidance', 'System/Protocol Overview'})","frozenset({'Detailed Findings', 'Scope', 'Methodology / Procedure', 'Executive Summary'})"
System/Protocol Overview; Detailed Findings; Recommendations / Remediation Guidance,Executive Summary; Methodology / Procedure; Scope,44,"frozenset({'Detailed Findings', 'Recommendations / Remediation Guidance', 'System/Protocol Overview'})","frozenset({'Scope', 'Methodology / Procedure', 'Executive Summary'})"
